country,year,Government expenditure (% of GDP),Government revenue (% of GDP),Gross public debt (% of GDP),Interest on public debt (% of GDP),Primary balance (% of GDP),Primary expenditure (% of GDP),Real GDP growth rate (%),Real long-term bond yield (%)
Mexico,2018,24.969736297205,22.831150160331,52.201770415418,4.0070061378446,1.868420000971,20.96273015936,1.9720821564082,3.0306468619285
Mexico,2019,25.241837074562,22.97775260296,51.858891831012,4.0763173891641,1.8122329175626,21.165519685398,-0.39269065354839,4.0323717304129
Mexico,2020,27.788595178368,23.497611330547,58.504846668148,4.2540463374008,-0.03693751042071,23.534548840968,-8.3540345809964,2.8527420745483
Mexico,2021,26.754974822254,22.998296258892,56.894555347087,3.9964779409691,0.23979937760708,22.758496881285,6.0484835597441,1.0741245863386
Mexico,2022,28.578510946055,24.307135637761,54.169118629678,5.3662210448665,1.0948457365724,23.212289901189,3.6891111086793,
Mexico,2023,28.671539964682,24.360356039701,53.097479701073,6.2248816703874,1.9136977454064,22.446658294294,3.19998119684,
Peru,2005,20.378743598023,19.943061749186,41.848239299717,2.0318094254687,1.596127576631,18.346934172555,6.2846480015207,
Peru,2006,19.162064592059,21.191192382448,33.818139511689,1.9534176528492,3.9825454432387,17.20864693921,7.5288990440594,
Peru,2007,18.593149315871,21.941507665015,29.574985842155,1.8563094004901,5.2046677496348,16.736839915381,8.5183877690955,
Peru,2008,19.827139358163,22.303258191308,26.513854645186,1.6202274343799,4.0963462675249,18.206911923783,9.1190610992421,
Peru,2009,21.401106200604,19.918263328461,26.648093014646,1.3343304645378,-0.14851240760538,20.066775736066,1.0961857094535,
Peru,2010,21.009408114977,20.993902706918,23.537310432909,1.1832810698749,1.1677756618158,19.826127045102,8.3344202795815,
Peru,2011,19.709583234055,21.752264526502,21.364009550644,1.1500341111813,3.1927154036281,18.559549122874,6.3271924016112,
Peru,2012,20.275154230297,22.345469133217,19.730345114186,1.070704138042,3.141019040962,19.204450092255,6.1397247056044,
Peru,2013,21.458482132064,22.21274652005,18.839490194852,1.0858471722047,1.8401115601899,20.37263495986,5.8525182108493,
Peru,2014,22.443192060945,22.254408664519,19.210936789044,1.0456461086891,0.85686271226271,21.397545952256,2.3821573718054,
Peru,2015,22.172591402825,20.136484022448,22.476185988211,1.0262905554895,-1.0098168248876,21.146300847335,3.2524587638132,
Peru,2016,20.775066723277,18.629037183289,22.947913902698,1.0419290727806,-1.1041004672074,19.733137650497,3.9533105219199,
Peru,2017,20.90343661389,18.07688122737,23.165991614226,1.1051624174121,-1.7213929691077,19.798274196477,2.5186310513535,
Peru,2018,21.174946372323,19.211433084645,23.473820753777,1.2296068248906,-0.73390646278809,19.945339547433,3.969351341365,
Peru,2019,21.124617856004,19.736750435033,24.697853744507,1.2686634131477,-0.11920400782374,19.855954442857,2.2404447221048,
Peru,2020,26.083939827787,17.783002591359,32.324909647862,1.5050696098036,-6.7958676266237,24.578870217983,-10.869294772815,
Peru,2021,23.491303782759,20.962617351537,33.641038259718,1.3819344124866,-1.1467520187354,22.109369370272,13.41729749257,
Peru,2022,23.485711926496,22.083452457119,31.948400404598,1.436008621185,0.033749151808461,22.049703305311,2.6840524105979,
Peru,2023,22.480868775094,19.70838140798,31.253313409974,1.542656219402,-1.2298311477111,20.938212555692,-0.55182405078685,
Philippines,2005,18.740975583376,17.116337405024,64.674292918368,5.0486372116919,3.4239990333397,13.692338371684,4.9424966493555,2.2401457927876
Philippines,2006,18.282287000541,18.235929159783,57.188542347762,4.6089313092586,4.562573468501,13.673355691282,5.3164209573296,1.8134981749866
Philippines,2007,18.183817426002,17.898893124958,50.167617292164,3.5558955150583,3.2709712140142,14.627921910944,6.5192920442853,5.8024211384347
Philippines,2008,17.884154168114,17.900629892503,50.0100929182,3.2552362991275,3.2717120235164,14.628917868987,4.3444947338981,1.8209979594873
Philippines,2009,19.209310351598,16.640420844689,49.805295824846,3.1677313927394,0.59884188583071,16.041578958858,1.448308508776,5.2952647629689
Philippines,2010,18.348217104862,16.094578289732,47.586513297426,2.9063718721445,0.65273305701465,15.441845232717,7.3345008729675,4.956287975027
Philippines,2011,17.217892523181,16.840807510393,45.433618192504,2.4731233036645,2.0960382908764,14.744769219517,3.8582385687947,3.1789635167533
Philippines,2012,17.706023220128,17.486927052438,45.691174312688,2.5104992148248,2.2914030471347,15.195524005303,6.8969622981983,2.8627167887244
Philippines,2013,17.325328859425,17.696826952831,43.86314432825,2.3687465006909,2.7402445940972,14.956582358734,6.7505273440505,1.9246757683526
